1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:norm	1_anno_scriptorium:pos	1_meta_annis:doc	1_meta_annotation	1_meta_corpus	1_meta_version_date	1_meta_version_n
52194420	ⲏⲓ	ccomp	ⲏⲓ	ⲏⲓ	N	41_Mark_11	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52194455	ⲏⲉⲓ	conj	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_11	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52201819	ⲏⲉⲓ	obj	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_12	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52204371	ⲏⲉⲓ	nmod	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_13	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52206244	ⲏⲉⲓ	obj	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_13	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52206448	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	41_Mark_13	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52206963	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	41_Mark_14	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52208491	ⲏⲉⲓ	nmod	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_14	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52226110	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_01	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52226514	ⲏⲓ	appos	ⲏⲓ	ⲏⲓ	N	42_Luke_01	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52227897	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_01	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52229164	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	42_Luke_01	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52230421	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_01	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52231885	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	42_Luke_02	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52245881	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_04	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52250060	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_05	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52250155	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_05	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52250567	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_05	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52252154	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_06	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52257491	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_06	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52257619	ⲏⲓ	obj	ⲏⲓ	ⲏⲓ	N	42_Luke_06	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52257770	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_06	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52257879	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	42_Luke_06	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52258474	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	42_Luke_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52259143	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52261232	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	42_Luke_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52262384	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52262511	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52263558	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52267989	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	42_Luke_08	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52269745	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	42_Luke_08	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52270150	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_08	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52271332	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_08	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52272282	ⲏⲓ	root	ⲏⲓ	ⲏⲓ	N	42_Luke_09	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52279756	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	42_Luke_09	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52280323	ⲏⲓ	root	ⲏⲓ	ⲏⲓ	N	42_Luke_10	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52280397	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	42_Luke_10	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52280537	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_10	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52280652	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_10	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52280663	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	42_Luke_10	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52287275	ⲏⲓ	dislocated	ⲏⲓ	ⲏⲓ	N	42_Luke_11	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52287288	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	42_Luke_11	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52288239	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_11	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52291638	ⲏⲓ	obj	ⲏⲓ	ⲏⲓ	N	42_Luke_11	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52296797	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	42_Luke_12	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52296884	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_12	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52298362	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	42_Luke_12	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52303524	ⲏⲓ	obj	ⲏⲓ	ⲏⲓ	N	42_Luke_13	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52303712	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_14	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52306454	ⲏⲓ	nsubj	ⲏⲓ	ⲏⲓ	N	42_Luke_14	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52308359	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_15	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52310808	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_15	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52312196	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_16	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52315166	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_16	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52319107	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_17	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52321458	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	42_Luke_18	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52323325	ⲏⲓ	obj	ⲏⲓ	ⲏⲓ	N	42_Luke_18	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52325294	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	42_Luke_19	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52325758	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_19	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52330028	ⲏⲓ	nsubj	ⲏⲓ	ⲏⲓ	N	42_Luke_19	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52330047	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_19	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52335688	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	42_Luke_20	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
