Term	inDocumentsCount	RawFrequency	RelativeFrequency	RelativePeakedness	RelativeSkewness	Distributions
ⲛⲗⲉⲩⲉⲓ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲛⲟϭⲛⲉϭ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲟⲩⲧⲉ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲟⲩⲱϣ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲡⲓ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲣⲁⲧ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲣⲟⲉⲓⲥ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲣⲱⲕϩ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲥϩⲁⲓ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲥⲁ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲥⲁⲃⲉ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲥⲟⲟⲩⲛ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲥⲟⲡ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲥⲡⲉⲣⲙⲁ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲥⲩⲛⲁⲅⲱⲅⲏ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲧⲁϩⲟ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲧⲁⲙⲓⲟ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲧⲱⲣⲡ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲯⲩⲭⲏ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ϣⲁⲛ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϣⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϣⲙⲙⲟ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϣⲟⲙⲛⲧ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϣⲟⲣϣⲣ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϣⲱϫⲡ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϣⲱⲡ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϩⲏⲕⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϩⲓⲏ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϩⲓⲟⲩⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϩⲓⲣⲛ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϩⲓⲧⲟⲩⲛ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϩⲟ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϩⲧⲟⲟⲩⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϫⲁⲓⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϫⲉⲕⲁⲁⲥ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϫⲉⲙ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϫⲓⲛ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϫⲓⲥⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϫⲱⲱⲣⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϭⲉⲣⲱⲃ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ϭⲱⲧϩ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲁⲃⲱⲕ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲁⲅⲁⲑⲟⲛ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲁⲇⲓⲕⲓⲁ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲁⲥⲉⲃⲏⲥ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲃⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲃⲟⲧⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲇⲏⲙⲟⲥ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲇⲱⲣⲟⲛ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲉϣϫⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
