1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lang	1_anno_scriptorium:lemma	1_anno_scriptorium:norm	1_anno_scriptorium:pos	1_meta_annis:doc	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lang	2_anno_scriptorium:lemma	2_anno_scriptorium:norm	2_anno_scriptorium:pos
52037091	ⲉ	case	'NULL'	ⲉ	ⲉ	PREP	40_Matthew_09	52037097	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52037094	ⲡⲉϥ	det	'NULL'	ⲡⲉϥ	ⲡⲉϥ	PPOS	40_Matthew_09	52037097	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52037097	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52037101	.	punct	'NULL'	.	.	PUNCT
52037097	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52037108	ⲁ	aux	'NULL'	ⲁ	ⲁ	APST
52037097	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52037112	ⲩ	nsubj	'NULL'	ⲛⲧⲟⲟⲩ	ⲩ	PPERS
52037097	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52037115	ⲛⲁⲩ	advcl	'NULL'	ⲛⲁⲩ	ⲛⲁⲩ	V
52037097	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52037118	ⲇⲉ	advmod	Greek	ⲇⲉ	ⲇⲉ	PTC
52037448	ϥ	nsubj	'NULL'	ⲛⲧⲟϥ	ϥ	PPERS	40_Matthew_09	52037469	ⲏⲓ	mark	'NULL'	ⲏⲓ	ⲏⲓ	N
52037451	ⲛⲏϫ	advcl	'NULL'	ⲛⲟⲩϫⲉ	ⲛⲏϫ	VSTAT	40_Matthew_09	52037469	ⲏⲓ	mark	'NULL'	ⲏⲓ	ⲏⲓ	N
52037455	ϩⲣⲁⲓ	advmod	'NULL'	ϩⲣⲁⲓ	ϩⲣⲁⲓ	ADV	40_Matthew_09	52037469	ⲏⲓ	mark	'NULL'	ⲏⲓ	ⲏⲓ	N
52037460	ϩⲙ	case	'NULL'	ϩⲛ	ϩⲙ	PREP	40_Matthew_09	52037469	ⲏⲓ	mark	'NULL'	ⲏⲓ	ⲏⲓ	N
52037465	ⲡⲉϥ	det	'NULL'	ⲡⲉϥ	ⲡⲉϥ	PPOS	40_Matthew_09	52037469	ⲏⲓ	mark	'NULL'	ⲏⲓ	ⲏⲓ	N
52037469	ⲏⲓ	mark	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52037473	ⲉⲓⲥ	advmod	'NULL'	ⲉⲓⲥ	ⲉⲓⲥ	PTC
52037469	ⲏⲓ	mark	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52037478	ϩⲏⲏⲧⲉ	fixed	'NULL'	ϩⲏⲏⲧⲉ	ϩⲏⲏⲧⲉ	PTC
52037469	ⲏⲓ	mark	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52037483	ⲛⲉ	mark	'NULL'	ⲛⲉⲣⲉ	ⲛⲉ	CPRET
52037469	ⲏⲓ	mark	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52037487	ⲩⲛ	parataxis	'NULL'	ⲟⲩⲛ	ⲩⲛ	EXIST
52037469	ⲏⲓ	mark	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52037490	ϩⲁϩ	obj	'NULL'	ϩⲁϩ	ϩⲁϩ	N
52039316	ⲛϭⲓ	case	'NULL'	ⲛϭⲓ	ⲛϭⲓ	PTC	40_Matthew_09	52039339	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52039321	ⲓⲏⲥⲟⲩⲥ	dislocated	Hebrew	ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ	NPROP	40_Matthew_09	52039339	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52039326	ⲉϩⲣⲁⲓ	advmod	'NULL'	ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ	ADV	40_Matthew_09	52039339	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52039331	ⲉ	case	'NULL'	ⲉ	ⲉ	PREP	40_Matthew_09	52039339	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52039336	ⲡ	det	'NULL'	ⲡ	ⲡ	ART	40_Matthew_09	52039339	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52039339	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52039342	ⲙ	case	'NULL'	ⲛ	ⲙ	PREP
52039339	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52039347	ⲡ	det	'NULL'	ⲡ	ⲡ	ART
52039339	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52039350	ⲁⲣⲭⲱⲛ	nmod	Greek	ⲁⲣⲭⲱⲛ	ⲁⲣⲭⲱⲛ	N
52039339	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52039353	ⲁ	aux	'NULL'	ⲁ	ⲁ	APST
52039339	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52039358	ϥ	nsubj	'NULL'	ⲛⲧⲟϥ	ϥ	PPERS
52039908	ⲉⲓ	root	'NULL'	ⲉⲓ	ⲉⲓ	V	40_Matthew_09	52039929	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52039911	ⲇⲉ	advmod	Greek	ⲇⲉ	ⲇⲉ	PTC	40_Matthew_09	52039929	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52039916	ⲉϩⲣⲁⲓ	advmod	'NULL'	ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ	ADV	40_Matthew_09	52039929	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52039921	ⲉ	case	'NULL'	ⲉ	ⲉ	PREP	40_Matthew_09	52039929	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52039926	ⲡ	det	'NULL'	ⲡ	ⲡ	ART	40_Matthew_09	52039929	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52039929	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52039932	ⲁ	aux	'NULL'	ⲁ	ⲁ	APST
52039929	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52039937	ⲩ	nsubj	'NULL'	ⲛⲧⲟⲟⲩ	ⲩ	PPERS
52039929	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52039940	ϯ	parataxis	'NULL'	ϯ	ϯ	V
52039929	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52039943	ⲡⲉⲩ	det	'NULL'	ⲡⲉⲩ	ⲡⲉⲩ	PPOS
52039929	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52039946	ⲟⲩⲟⲓ	obj	'NULL'	ⲟⲩⲟⲉⲓ	ⲟⲩⲟⲉⲓ	N
52041824	ⲁ	aux	'NULL'	ⲁ	ⲁ	APST	40_Matthew_10	52041842	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52041827	ⲩ	nsubj	'NULL'	ⲛⲧⲟⲟⲩ	ⲩ	PPERS	40_Matthew_10	52041842	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52041830	ⲥⲱⲣⲙ	acl	'NULL'	ⲥⲱⲣⲙ	ⲥⲱⲣⲙ	V	40_Matthew_10	52041842	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52041834	ⲛⲧⲉ	case	'NULL'	ⲛⲧⲉ	ⲛⲧⲉ	PREP	40_Matthew_10	52041842	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52041838	ⲡ	det	'NULL'	ⲡ	ⲡ	ART	40_Matthew_10	52041842	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52041842	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_10	52041846	ⲙ	case	'NULL'	ⲛ	ⲙ	PREP
